Suggested_job_role,course_1,course_2,course_3,course_4,course_5
Technical Support Specialist,Programming Languages,Digital Design,Digital Design,Programming Languages,Software Engineering 1
Software Engineer / Programmer,Architecture and Organization,Network Management,Information Assurance and Security,Software Engineering 1,Advance Database
Academician,Network Management,Network Management,Network Management,Information Assurance and Security,Advance Database
Administrative Assistant,Architecture and Organization,Programming Languages,Digital Design,Network Management,Information Assurance and Security
Software Engineer / Programmer,Advance Database,Programming Languages,Information Assurance and Security,Modelling and Simulation,Information Assurance and Security
Technical Support Specialist,Architecture and Organization,Modelling and Simulation,Modelling and Simulation,Network Management,Network Management
Software Engineer / Programmer,Architecture and Organization,Architecture and Organization,Programming Languages,Network Management,Advance Database
Software Engineer / Programmer,Architecture and Organization,Advance Database,Information Assurance and Security,Advance Database,Network Management
Administrative Assistant,Architecture and Organization,Network Management,Digital Design,Programming Languages,Information Assurance and Security
Administrative Assistant,Network Management,Modelling and Simulation,Advance Database,Information Assurance and Security,Programming Languages
Technical Support Specialist,Modelling and Simulation,Information Assurance and Security,Information Assurance and Security,Programming Languages,Software Engineering 1
Technical Support Specialist,Advance Database,Architecture and Organization,Software Engineering 1,Information Assurance and Security,Digital Design
Software Engineer / Programmer,Advance Database,Programming Languages,Modelling and Simulation,Advance Database,Digital Design
Software Engineer / Programmer,Network Management,Advance Database,Architecture and Organization,Architecture and Organization,Software Engineering 1
Technical Support Specialist,Information Assurance and Security,Network Management,Digital Design,Network Management,Programming Languages
Software Engineer / Programmer,Information Assurance and Security,Modelling and Simulation,Network Management,Network Management,Network Management
Administrative Assistant,Information Assurance and Security,Digital Design,Programming Languages,Network Management,Digital Design
Technical Support Specialist,Software Engineering 1,Software Engineering 1,Information Assurance and Security,Programming Languages,Network Management
Academician,Advance Database,Software Engineering 1,Programming Languages,Digital Design,Information Assurance and Security
Software Engineer / Programmer,Advance Database,Network Management,Programming Languages,Information Assurance and Security,Software Engineering 1
Software Engineer / Programmer,Advance Database,Software Engineering 1,Programming Languages,Modelling and Simulation,Advance Database
Academician,Advance Database,Information Assurance and Security,Architecture and Organization,Software Engineering 1,Network Management
Technical Support Specialist,Digital Design,Architecture and Organization,Information Assurance and Security,Architecture and Organization,Architecture and Organization
Administrative Assistant,Advance Database,Digital Design,Programming Languages,Information Assurance and Security,Software Engineering 1
Academician,Software Engineering 1,Digital Design,Architecture and Organization,Architecture and Organization,Digital Design
Academician,Modelling and Simulation,Digital Design,Network Management,Software Engineering 1,Information Assurance and Security
Academician,Digital Design,Information Assurance and Security,Information Assurance and Security,Digital Design,Information Assurance and Security
Software Engineer / Programmer,Network Management,Digital Design,Information Assurance and Security,Advance Database,Digital Design
Academician,Digital Design,Architecture and Organization,Architecture and Organization,Advance Database,Network Management
Administrative Assistant,Advance Database,Digital Design,Advance Database,Programming Languages,Information Assurance and Security
Technical Support Specialist,Network Management,Advance Database,Digital Design,Network Management,Modelling and Simulation
Technical Support Specialist,Programming Languages,Information Assurance and Security,Information Assurance and Security,Digital Design,Network Management
Software Engineer / Programmer,Information Assurance and Security,Programming Languages,Information Assurance and Security,Architecture and Organization,Software Engineering 1
Academician,Digital Design,Architecture and Organization,Software Engineering 1,Architecture and Organization,Digital Design
Technical Support Specialist,Modelling and Simulation,Digital Design,Software Engineering 1,Software Engineering 1,Information Assurance and Security
Technical Support Specialist,Advance Database,Information Assurance and Security,Advance Database,Modelling and Simulation,Information Assurance and Security
Administrative Assistant,Modelling and Simulation,Architecture and Organization,Digital Design,Advance Database,Architecture and Organization
Administrative Assistant,Modelling and Simulation,Modelling and Simulation,Modelling and Simulation,Architecture and Organization,Digital Design
Administrative Assistant,Software Engineering 1,Advance Database,Modelling and Simulation,Advance Database,Network Management
Academician,Advance Database,Modelling and Simulation,Software Engineering 1,Advance Database,Software Engineering 1
Technical Support Specialist,Information Assurance and Security,Programming Languages,Advance Database,Programming Languages,Advance Database
Technical Support Specialist,Modelling and Simulation,Programming Languages,Network Management,Information Assurance and Security,Advance Database
Administrative Assistant,Architecture and Organization,Modelling and Simulation,Programming Languages,Architecture and Organization,Programming Languages
Software Engineer / Programmer,Digital Design,Advance Database,Software Engineering 1,Digital Design,Network Management
Technical Support Specialist,Programming Languages,Software Engineering 1,Network Management,Advance Database,Information Assurance and Security
Technical Support Specialist,Digital Design,Information Assurance and Security,Programming Languages,Modelling and Simulation,Network Management
Administrative Assistant,Programming Languages,Software Engineering 1,Advance Database,Information Assurance and Security,Digital Design
Administrative Assistant,Digital Design,Network Management,Software Engineering 1,Software Engineering 1,Information Assurance and Security
Software Engineer / Programmer,Programming Languages,Advance Database,Programming Languages,Architecture and Organization,Digital Design
Administrative Assistant,Digital Design,Network Management,Programming Languages,Information Assurance and Security,Modelling and Simulation
Academician,Modelling and Simulation,Advance Database,Digital Design,Programming Languages,Software Engineering 1
Software Engineer / Programmer,Programming Languages,Architecture and Organization,Information Assurance and Security,Network Management,Network Management
Technical Support Specialist,Advance Database,Modelling and Simulation,Modelling and Simulation,Network Management,Software Engineering 1
Technical Support Specialist,Modelling and Simulation,Advance Database,Network Management,Architecture and Organization,Modelling and Simulation
Technical Support Specialist,Information Assurance and Security,Information Assurance and Security,Information Assurance and Security,Modelling and Simulation,Modelling and Simulation
Administrative Assistant,Software Engineering 1,Programming Languages,Modelling and Simulation,Advance Database,Architecture and Organization
Technical Support Specialist,Network Management,Digital Design,Software Engineering 1,Architecture and Organization,Information Assurance and Security
Software Engineer / Programmer,Programming Languages,Advance Database,Architecture and Organization,Programming Languages,Architecture and Organization
Technical Support Specialist,Network Management,Programming Languages,Digital Design,Architecture and Organization,Architecture and Organization
Administrative Assistant,Architecture and Organization,Digital Design,Software Engineering 1,Digital Design,Digital Design
Administrative Assistant,Software Engineering 1,Architecture and Organization,Information Assurance and Security,Advance Database,Programming Languages
Administrative Assistant,Architecture and Organization,Digital Design,Digital Design,Programming Languages,Software Engineering 1
Administrative Assistant,Modelling and Simulation,Network Management,Information Assurance and Security,Network Management,Advance Database
Technical Support Specialist,Information Assurance and Security,Architecture and Organization,Network Management,Programming Languages,Digital Design
Academician,Information Assurance and Security,Advance Database,Programming Languages,Software Engineering 1,Digital Design
Technical Support Specialist,Digital Design,Advance Database,Architecture and Organization,Architecture and Organization,Information Assurance and Security
Technical Support Specialist,Network Management,Network Management,Advance Database,Advance Database,Information Assurance and Security
Software Engineer / Programmer,Information Assurance and Security,Digital Design,Modelling and Simulation,Programming Languages,Information Assurance and Security
Technical Support Specialist,Digital Design,Architecture and Organization,Programming Languages,Software Engineering 1,Modelling and Simulation
Software Engineer / Programmer,Network Management,Architecture and Organization,Information Assurance and Security,Programming Languages,Modelling and Simulation
Technical Support Specialist,Digital Design,Modelling and Simulation,Programming Languages,Modelling and Simulation,Architecture and Organization
Administrative Assistant,Modelling and Simulation,Network Management,Architecture and Organization,Architecture and Organization,Software Engineering 1
Administrative Assistant,Software Engineering 1,Digital Design,Advance Database,Programming Languages,Modelling and Simulation
Technical Support Specialist,Information Assurance and Security,Architecture and Organization,Advance Database,Advance Database,Advance Database
Administrative Assistant,Architecture and Organization,Architecture and Organization,Modelling and Simulation,Information Assurance and Security,Information Assurance and Security
Technical Support Specialist,Software Engineering 1,Information Assurance and Security,Programming Languages,Architecture and Organization,Software Engineering 1
Administrative Assistant,Architecture and Organization,Advance Database,Programming Languages,Digital Design,Architecture and Organization
Software Engineer / Programmer,Network Management,Software Engineering 1,Advance Database,Architecture and Organization,Digital Design
Software Engineer / Programmer,Modelling and Simulation,Software Engineering 1,Software Engineering 1,Information Assurance and Security,Software Engineering 1
Software Engineer / Programmer,Advance Database,Information Assurance and Security,Software Engineering 1,Software Engineering 1,Architecture and Organization
Software Engineer / Programmer,Software Engineering 1,Programming Languages,Architecture and Organization,Modelling and Simulation,Architecture and Organization
Software Engineer / Programmer,Architecture and Organization,Modelling and Simulation,Network Management,Digital Design,Advance Database
Software Engineer / Programmer,Digital Design,Software Engineering 1,Network Management,Programming Languages,Programming Languages
Technical Support Specialist,Advance Database,Programming Languages,Advance Database,Software Engineering 1,Information Assurance and Security
Software Engineer / Programmer,Programming Languages,Modelling and Simulation,Programming Languages,Digital Design,Software Engineering 1
Software Engineer / Programmer,Digital Design,Advance Database,Programming Languages,Information Assurance and Security,Information Assurance and Security
Technical Support Specialist,Information Assurance and Security,Architecture and Organization,Modelling and Simulation,Programming Languages,Programming Languages
Software Engineer / Programmer,Software Engineering 1,Software Engineering 1,Information Assurance and Security,Modelling and Simulation,Information Assurance and Security
Academician,Software Engineering 1,Information Assurance and Security,Programming Languages,Modelling and Simulation,Software Engineering 1
Software Engineer / Programmer,Programming Languages,Programming Languages,Information Assurance and Security,Modelling and Simulation,Architecture and Organization
Administrative Assistant,Network Management,Advance Database,Architecture and Organization,Network Management,Architecture and Organization
